distance_overtaker;distance_stationary;direction;way_id;course;speed;time;geometry
1,76;1,6400000000000001;-1;129138637,0;2,9825509217652115;2,1666666666666665;2022-08-02 10:23:53+00:00;POINT (14.333065745 51.765214464)
0,64;1,26;-1;225079482,0;3,0198199844805975;3,1111111111111107;2022-08-02 10:23:55+00:00;POINT (14.332964118 51.765212241)
1,86;;-1;129138634,0;2,889394322005864;4,888888888888889;2022-08-02 10:24:17+00:00;POINT (14.331436375 51.765318512)
0,8300000000000001;2,14;-1;129138634,0;2,8919243512895556;4,972222222222221;2022-08-02 10:24:19+00:00;POINT (14.33127501 51.765335952)
0,5;2,22;-1;1024326745,0;1,5871793834175163;1,7222222222222223;2022-08-02 10:25:09+00:00;POINT (14.328385291 51.765968855)
1,99;1,45;-1;1024326745,0;1,3905252826136818;1,8055555555555556;2022-08-02 10:25:14+00:00;POINT (14.328397912 51.765967236)
1,26;1,8900000000000001;-1;178251799,0;3,3435604093013254;4,0;2022-08-02 05:21:30+00:00;POINT (14.359410087 51.794011633)
1,23;1,74;-1;178251799,0;3,343702130036587;3,888888888888889;2022-08-02 05:21:36+00:00;POINT (14.359068257 51.793953743)
1,94;;-1;178251799,0;3,2603329876565734;3,75;2022-08-02 05:21:59+00:00;POINT (14.357738921 51.793726409)
1,24;2,84;-1;178251799,0;3,3071182835855337;3,944444444444444;2022-08-02 05:22:04+00:00;POINT (14.357440751 51.793674518)
1,34;;-1;178251801,0;4,777559923720008;4,75;2022-08-02 05:24:47+00:00;POINT (14.348574765 51.791034089)
1,57;1,7;-1;178251801,0;4,755938435880452;4,611111111111112;2022-08-02 05:25:09+00:00;POINT (14.348727355 51.790064564)
1,43;2,2;-1;178251801,0;4,794597827877977;4,833333333333333;2022-08-02 05:25:16+00:00;POINT (14.348776561 51.789752776)
0,7000000000000001;2,36;-1;178251801,0;4,814295962881835;4,888888888888889;2022-08-02 05:25:18+00:00;POINT (14.348790772 51.789663512)
1,27;2,36;-1;178251801,0;4,819029295813244;4,861111111111111;2022-08-02 05:25:19+00:00;POINT (14.348798229 51.789617249)
1,37;2,77;-1;225232757,0;4,85653467610935;4,944444444444445;2022-08-02 05:26:23+00:00;POINT (14.349316825 51.786806657)
0,66;;-1;178071536,0;4,906745704294124;4,666666666666667;2022-08-02 05:26:45+00:00;POINT (14.34959679 51.785864263)
1,47;;-1;178071536,0;4,929726105489284;4,805555555555555;2022-08-02 05:26:50+00:00;POINT (14.349676005 51.785654952)
1,87;;1;128366375,0;3,3151412130911013;4,5;2022-08-02 05:35:34+00:00;POINT (14.340562004 51.769413059)
1,6500000000000001;;1;128366375,0;3,3188032629276356;4,333333333333333;2022-08-02 05:35:40+00:00;POINT (14.340146927 51.7693589)
0,7000000000000001;;1;128366375,0;3,3167518029248417;4,277777777777778;2022-08-02 05:35:41+00:00;POINT (14.340087977 51.769349666)
1,67;1,16;1;128366375,0;3,4615956303503;4,944444444444445;2022-08-02 05:35:46+00:00;POINT (14.339700807 51.769271785)
1,87;2,65;1;128366375,0;3,471031578418282;5,166666666666667;2022-08-02 05:35:49+00:00;POINT (14.339461466 51.769219342)
1,02;1,9100000000000001;1;128366375,0;3,4946389018807573;5,194444444444444;2022-08-02 05:35:53+00:00;POINT (14.339138159 51.769148122)
1,54;1,54;1;128366375,0;3,501564717418521;5,166666666666667;2022-08-02 05:35:55+00:00;POINT (14.338993469 51.769115267)
1,02;1,6600000000000001;1;128366375,0;3,5049635716038545;5,111111111111111;2022-08-02 05:35:57+00:00;POINT (14.338854681 51.769083753)
2,16;1,71;1;128366375,0;3,4986301208142176;5,055555555555555;2022-08-02 05:35:59+00:00;POINT (14.338719728 51.76905311)
